8070,藤田亮子,1955年2月18日,みずがめ座,----,T156cm B86cm(Dカップ) W60cm H86cm,----,----
236,愛染恭子,1957年2月9日,みずがめ座,B,T161cm B85cm(Dカップ) W60cm H88cm,千葉県,----
14996,真梨邑ケイ,1957年8月29日,おとめ座,O,T165cm B85cm W59cm H86cm,東京都,旅行、読書
18367,安達有里,1957年8月30日,おとめ座,AB,T151cm B81cm W58cm H85cm,東京都,----
10228,里中亜矢子,1960年11月11日,さそり座,O,T158cm B88cm(Fカップ) W64cm H92cm,----,ガーデニング、旅
18187,椿美羚,1961年1月1日,やぎ座,----,T161cm B90cm(Eカップ) W60cm H85cm,----,----
1383,小田かおる,1961年4月1日,おひつじ座,AB,T162cm B80cm W58cm H85cm,山梨県,----
2243,中村京子,1961年10月24日,さそり座,A,T160cm B96cm W63cm H90cm,----,----
12523,五月留美,1962年1月1日,やぎ座,----,T158cm B87cm(Dカップ) W67cm H90cm,----,----
20339,神名ひとみ,1962年1月29日,みずがめ座,----,T158cm B88cm W58cm H86cm,東京都,料理
2653,八神康子,1962年3月9日,うお座,----,T158cm B84cm W59cm H84cm,宮崎県,----
11931,小林みゆき,1962年6月11日,ふたご座,A,T160cm B88cm(Dカップ) W58cm H86cm,大阪府,観劇、料理、ピアノ
2283,朝吹ケイト,1962年7月3日,かに座,----,T160cm B85cm W58cm H85cm,東京都,----
4089,楠真由美,1962年9月26日,てんびん座,A,T157cm B93cm(Hカップ) W60cm H87cm,秋田県,料理、手芸
4925,明日香,1962年12月24日,やぎ座,O,T164cm B83cm(Dカップ) W59cm H85cm,宮城県,お掃除
97,しのざきさとみ,1963年1月18日,やぎ座,----,T159cm B88cm W58cm H86cm,----,----
4496,青木祐子,1963年6月30日,かに座,----,B85cm W59cm H86cm,----,----
9747,MAYUKA,1963年10月2日,てんびん座,O,T152cm B84cm(Dカップ) W55cm H82cm,神奈川県,----
30004,藤森綾子,1963年10月5日,てんびん座,----,T152cm B90cm(Gカップ) W60cm H85cm,----,食べ歩き、アルトサックス
567,岸加奈子,1963年10月28日,さそり座,----,T165cm B86cm W60cm H88cm,----,----
23,イヴ,1963年11月22日,いて座,O,T160cm B88cm(Dカップ) W58cm H86cm,静岡県,スキューバダイビング、パソコン、衣装デザイン
1859,青木琴美,1964年1月27日,みずがめ座,----,T158cm B78cm W56cm H90cm,神奈川県,----
2014,早見瞳,1964年4月2日,おひつじ座,----,T158cm B80cm W58cm H88cm,東京都,----
1017210,一条綺美香,1964年4月11日,おひつじ座,A,T160cm B90cm W60cm H82cm,----,アクセサリー作り、人のお世話をする事
2416,渡瀬ミク,1964年7月20日,かに座,----,T155cm B80cm W55cm H80cm,----,----
5498,篠原麻美,1964年9月11日,おとめ座,B,T158cm B85cm W58cm H85cm,東京都,映画鑑賞
2855,牧原れい子,1964年9月14日,おとめ座,B,T156cm B80cm(Cカップ) W60cm H88cm,東京都,料理、スポーツ
2089,舵川まり子,1964年11月14日,さそり座,A,T155cm B84cm W58cm H82cm,神奈川県,----
5636,青木美里,1965年1月1日,やぎ座,----,T160cm B87cm(Dカップ) W65cm H89cm,----,----
5012,黒木香,1965年1月21日,みずがめ座,----,T161cm B83cm W53cm H86cm,----,----
2195,竹下ゆかり,1965年3月30日,おひつじ座,A,T152cm B78cm W57cm H83cm,----,----
585,菊池エリ,1965年4月5日,おひつじ座,A,T168cm B96cm(Fカップ) W62cm H88cm,愛知県,お香を焚くこと、一人でブラブラする、英会話、剣道
2132,滝川真子,1965年4月29日,おうし座,----,T164cm B84cm W59cm H88cm,----,----
14800,真夏かがり,1965年8月2日,しし座,----,T164cm B86cm W60cm H89cm,神奈川県,----
1402,小林ひとみ,1965年9月2日,おとめ座,AB,T153cm B83cm W56cm H83cm,東京都,編み物、読書
2248,中沢慶子,1965年9月9日,おとめ座,B,T165cm B81cm W59cm H86cm,岩手県,ショッピング
2801,豊丸,1965年9月29日,てんびん座,B,T161cm B83cm W58cm H86cm,鹿児島県,----
1006007,風間ルミ,1965年11月28日,いて座,----,T153cm B99cm,東京都,----
896,高倉朱々,1966年1月1日,やぎ座,----,T159cm B87cm W57cm H88cm,----,----
8903,葉山瑶子,1966年1月1日,やぎ座,----,T160cm B83cm(Dカップ) W63cm H90cm,----,----
16321,清水美佐子,1966年1月1日,やぎ座,----,T158cm B82cm(Cカップ) W61cm H87cm,----,----
16950,柊麗子,1966年1月1日,やぎ座,----,T157cm B92cm(Fカップ) W61cm H87cm,----,----
2951,木築沙絵子,1966年1月3日,やぎ座,A,B78cm W57cm H80cm,東京都,----
